No	Japanese	Translation	Note
321	甥とは兄弟か姉妹の息子のことです。	A nephew is a son of one's brother or sister.	
322	その時、私ははっとしました。 	I was taken aback then.	
323	クモは網を張る。 	Spiders spin webs.	Nhện chăng tơ
324	転地療養は大いに君のためになるだろう。 	A change of air will do you a lot of good.	Có ích cho cậu
325	さもないと日暮までにそこにつけないでしょう。 	Otherwise you won't get there before dark.	
326	梅の花は今週が見所です。 	The plum blossoms are at their best this week.	
327	バーテンが酔って怒おっている客の勘定を集計するときには、よくよく気をつけなければいけない。 	When the bartender totals the bill for a customer who is drunk and angry, he must be very careful to mind his P's and Q's.	Thanh toán hóa đơn, tính tiền
328	彼女年よりうんと若くみせようとした。	She tried to look much younger than she really was.	
329	うんとお金があればいいのに。 	I wish I had much money.	
330	それはある種の病気には非常に有効です。	It is extremely effective for a certain type of illness	
331	彼女達は父の容体をたずねた。	They asked after my father.	
332	認識違いだったらすみませんが・・・	Xin lỗi nếu mà tôi đang hiểu sai nhưng mà...	
333	まず、FBの自動採番KEYはリレーション貼るドキュメントでは使わず、IntegerのIDを使う想定なので、user以外は自動採番KEYは廃止のイメージです。		
334	あとこれは確認ですがauto-ID of firebaseとFB auto gen IDって同じですよね…？		Thêm nữa là
335	彼女の頬に冷たい感触があった。 	There was a cold feeling against her cheek.	
336	彼の私を見る目つきがとても気にさわった。 	The way he looked at me irritated me very much.	
337	うっとうしい奴だ！ 	You are a pain in my neck!	
338	そのことを考えつくとは君も機転がきく。	It was resourceful of you to think of that.	
339	海外出張はいいけれど, その度に土産物を頼まれるんじゃたまらないね。 	I don't mind traveling abroad on business, but having to buy souvenirs each time is too much for me.	
340	その小説は人生を多面的に描いている。 	The novel gives a manifold picture of human life.	Bức tranh nhiều chiều
341	旬を外れた（旬外れ）果物	Fruit out of season.	Hoa quả trái mùa
342	紅茶に砂糖を加えなさい。	Add sugar to the tea.	
343	君の無知には感心するよ。	I admire your ignorance.	
344	今何が流行っていますか。	What is popular now?	
345	こしょうを取ってください。 	Please pass me the pepper.	
346	彼女はあがるとどもる。 	She stammers when she feels nervous.	
347	うちの猫って甘えん坊で、どこでも私のあと付いて来るのよね。 	My cat is such a baby, she follows me around wherever I go.	Bám theo sau
348	あの時計は時間が合っていない。	That clock is late.	Đồng hồ chạy sai
349	これで道のりの半分だ	We have covered half the distance [come half the way]	Đi được nửa chặng đường
350	今度の著書は彼が長年にわたって手掛けてきた研究の集大成といえる。 	One may say that the present work is a compilation of the researches he undertook over long years.	
351	1, 2, 3 と等級がある。	Be graded 1, 2, (or) 3.	Phân cấp
352	木を見ると心が和んだ。	The trees comforted me.	Lòng an yên
353	あなたは、私を愛していると錯覚している。 	You have the illusion that you love me.	Ảo tưởng
354	この恵まれた風土。 	This favored region.	
355	アメリカで絶賛された映画が近く日本でも公開される。 	A film highly acclaimed in America will shortly also be showing in Japan.	Sắp sửa
356	最新技術の粋を結集した宇宙ステーション。 	A space station bringing together the essence of the latest technologies.	hội tụ tinh hoa
357	私は友人と出かける前に、身だしなみを整えた。	I fixed myself up before I went out with my friends	Chỉnh trang lại quần áo
358	金融庁がスタートして10年というのは感慨深いものがございます。	I am filled with deep emotion when I reflect upon the 10 years that have passed since the FSA's establishment.	Bồi hồi xúc động
359	切符を申し込まれる際は代替日もご指定ください。	When applying for tickets, please give alternative dates.	Đăng kí vé
360	今晩の楽しい飲み会のお誘いをいただいたが、明日の会議はベストな状態で臨みたいので、泣く泣く断った。 	I got an invitation to a party tonight that I know would be a lot of fun but I have to be in my best form for tomorrow's meeting so I had to turn it down.	
361	彼らは水瓶を縁まで一杯にした。 	So they filled them to the brim.	
362	良い指導者とは、仕事の役に立つことを正確に把握し、それを素人に的確に伝えることの出来る人だ		
363	生活に不満で酒に夢中になって何が悪い？		thì có gì sai
364	米側は会談前から北朝鮮に「譲歩」した形となった。		最終的に、～～（今回の場合米国の態度）がこうなりました。　ということですね。
365	かえって申し訳ございません		相手から謝られたけれど、自分にも過失があると思った場合に「逆に」という意味で「かえって」を付けて謝罪の言葉を言います
366	○○について皆様に直接お伝え出来ましたことをお祈りしております		
367	あらゆる職業に手を出すものは、一芸に秀でることはできない	Jack of all trades and master of none.	
368	私の概算では。 	In my (rough) estimation.	Theo như tôi ước lượng
369	年をとって尻の筋肉が垂れてきた。 	Now I'm getting older, my bottom has started to sag.	
370	抗生物質に対する抵抗力。 	resistance to antibiotics.	
371	Aさんの提案を採用するのが一番だと思います。そうしないとこのプロジェクトは6月までまたがると思います。		We don’t use “さもなければ/さもないと” so much in conversations.
372	高度文明社会が内蔵する問題。	An inherent problem in a highly-cultured society	
373	情報が錯綜している 錯綜した指揮系統 錯綜した論理展開		錯綜は日常では使わないです 似ている単語で「混乱」の方が使います
